职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
图像识别算法,聚本人力,45k-63k,[合肥·蜀山区],经验5-10年 , 硕士,"工具类产品,IT技术服务",JAVAC语言物联网图像｜视频处理,“股权激励”
图像算法工程师（人脸识别）,智领人力资源服务,25k-35k,[北京·朝阳门],经验3-5年 , 本科,"人工智能服务,区块链 ",人工智能服务图像｜视频处理,“国企单位，稳定性好，AI 技术自主研发”
智能化工程师（物联网平台）,香港科技大学（广州）,12k-24k,[广州·南沙区],经验3-5年 , 本科,教育 ,JAVA教育｜培训Shell运维开发经验IT技术服务｜咨询,“工作稳定，福利完善，22天带薪年假”
物联网系统平台架构师,浩迪,16k-32k,[佛山·南海区],经验5-10年 , 本科,贸易,贸易｜进出口,"“五险一金,餐饮补贴,带薪年假”"
嵌入式软件开发-电机驱动2轮车控制器 物联网IOT开发,PXID,12k-24k,[南京·鼓楼区],经验3-5年 , 本科,其他 ,金融业,"“法定节假日,办公高大上,全勤奖”"
工业物联网工程师,京仪股份有限公司,6k-8k,[滁州·天长市],经验3-5年 , 本科,金融业 ,网络通信,“方案”
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[上海·嘉定区],经验不限 , 大专,其他 ,营销服务｜咨询专业服务｜咨询,"“五险一金,绩效奖金,做五休二”"
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[重庆·九龙坡区],经验不限 , 大专,其他 ,制造业,"“五险一金,绩效奖金,做五休二”"
物联网工程师,珠海华发现代农业科技投资控股有限公司,15k-25k,[珠海·金湾区],经验3-5年 , 本科,其他 ,暂无,“方案”
高级/ 资深JAVA工程师（物联网）,百腾发（上海）通讯有限公司,20k-40k,[上海·浦东新区],经验5-10年 , 本科,网络通信 ,暂无,"“五险一金,专业培训,带薪年假”"
嵌入式软件/固件工程师（物联网）,百腾发（上海）通讯有限公司,25k-40k,[上海·浦东新区],经验5-10年 , 本科,专业服务,暂无,“五险一金”
高级/电子工程师（物联网/家用电器）,港芝集團,10k-20k,[东莞·塘厦镇],经验5-10年 , 本科,其他 ,暂无,"“五险一金,周末双休,专业培训”"
产测开发部经理（蜂窝物联网）,利尔达科技集团股份有限公司,20k-30k,[杭州·余杭区],经验5-10年 , 本科,制造业 ,暂无,"“上市公司,年度体检,免费健身”"
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[南京·江宁区],经验不限 , 大专,其他 ,JAVAC语言JavaScriptAngularPython,"“五险一金,绩效奖金,做五休二”"
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[长沙·岳麓区],经验不限 , 大专,物联网 ,制造业,"“五险一金,绩效奖金,做五休二”"
电力行业/工业物联网产品经理(有研发背景）,亚信科技PRD,20k-30k,[北京·海淀区],经验5-10年 , 本科,制造业 ,制造业,"“方案,培训”"
物联网开发工程师,中科恒辉,10k-18k,[深圳·人民南],经验1-3年 , 本科,制造业 ,房地产｜建筑｜物业,“细分领域物联网平台，全国布局”
物联网实施工程师,剑愚机电,10k-15k,[西安·碑林区],经验不限 , 本科,房地产,房地产｜建筑｜物业,"“绩效奖金,做五休二,方案”"
物联网实施工程师,剑愚机电,10k-15k,[南京·浦口区],经验不限 , 本科,房地产,房地产｜建筑｜物业,"“绩效奖金,做五休二,方案”"
